Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-46.388157	85.88145	48.396717	-328.05612	-458.6359	788.36926	-26.723543	-2348.5032	147.62962	225.5	3999	5.2441735	6.1543665	41.96563	-10.989737	-7.0369573	1.094567	9.686051845550537
2	-52.692913	93.20361	15.542107	-379.3199	-1232.1256	1364.6643	-38.754818	-3006.476	164.33333	426.1	7999	76.89289	44.100502	199.46194	-46.909878	-86.26696	20.761742	22.73449206352234
3	-232.29707	561.9212	13.467596	-2589.652	-915.1424	1286.7074	-36.57119	-2976.7285	166.66667	322.9	11999	308.03018	90.70287	520.25696	-178.91498	-326.64636	172.137	35.57948541641235
4	-325.04034	719.28705	-17.942762	-2568.6953	-362.53485	777.74365	-38.094963	-2689.9446	131.09677	140.7	15999	458.20236	57.75973	613.0067	-282.6055	-471.5817	415.35614	47.78243899345398
5	-415.6482	862.0742	-10.884225	-2557.7595	-64.34691	25.082493	-39.322323	-122.99686	165.66667	22.9	19999	527.623	54.030495	658.3586	-343.2166	-540.30743	454.36786	59.28235197067261
6	-303.62988	693.9345	-28.661388	-2469.4304	-91.07805	43.58923	-26.782116	-173.30043	125.34375	36.4	23999	563.8377	51.219826	670.80023	-290.7609	-573.6416	469.9332	70.879887342453
7	-336.4176	687.28644	-18.74888	-2424.6165	-171.87604	337.39725	-9.815309	-1176.8923	151.11111	136.3	27999	531.52704	49.98082	626.8312	-339.50983	-539.8825	453.00443	83.01942110061646
8	-349.56406	538.1135	4.8043237	-1688.5656	-321.6459	515.4628	-21.844185	-1532.3826	246.33333	229.8	31999	498.10196	44.527096	579.114	-222.89705	-506.04398	309.12766	95.74944829940796
9	-296.95392	497.58902	-5.9675927	-1447.3099	-193.2518	443.38806	-20.5616	-1521.5281	219.17647	134.7	35999	463.56177	41.654015	538.41223	-374.3125	-470.4709	280.26126	107.89454865455627
10	-726.9945	662.34094	-43.85605	-1447.6245	-243.41316	369.7082	-13.660048	-1268.6516	530.75	250.8	39999	420.2013	36.530647	496.11377	-306.74896	-425.9987	191.83897	121.0033643245697
11	-341.89017	492.89188	-24.859987	-1327.8354	-317.5512	462.54422	-4.8332844	-1220.29	291.0	342.7	43999	373.33588	32.91759	453.2932	-372.79715	-378.1668	142.06927	134.44212245941162
12	-490.64417	479.2395	-2.7805774	-1148.4556	-144.47269	395.21725	323.86972	-779.1209	503.75	708.8	47999	325.09247	30.842825	411.9314	-244.55519	-329.18536	113.35592	150.17893385887146
13	-156.68504	265.84073	36.020172	-853.388	196.44614	254.93364	539.33716	-23.509441	333.81818	431.7	51999	281.19397	30.433311	381.5219	-259.934	-284.93506	93.73945	164.239089012146
14	-275.8287	338.93997	17.763079	-918.25586	-24.215443	210.35062	409.8665	-515.8832	500.33334	356.7	55999	243.82758	30.957098	366.30072	-215.65097	-247.255	71.45955	178.01541018486023
15	-29.893192	159.94002	96.47107	-471.04224	50.221016	175.0435	422.12448	-172.03726	371.0	833.0	59999	214.91959	32.109184	353.52753	-167.18578	-218.21252	59.59061	194.6129767894745
16	-170.73984	265.6936	93.78372	-717.29254	-110.60763	341.77814	326.6258	-799.78705	486.44446	585.0	63999	192.8146	35.058605	308.82083	-217.69469	-196.03268	57.432796	209.64809703826904
17	9.964307	99.16638	161.40363	-174.43468	60.439583	91.57499	107.415665	-195.42677	705.6667	901.3	67999	175.33723	38.39109	300.07114	-206.69826	-178.41466	44.662174	226.616863489151
18	-125.32478	177.30724	97.96902	-300.33188	-253.10515	248.38002	194.04807	-740.2717	888.0	813.8	71999	161.75642	41.32552	265.18033	-210.964	-164.68219	35.5025	243.2477843761444
19	-142.66519	319.34857	151.11732	-759.834	-14.759303	71.636375	103.22327	-96.30563	876.0	1000.0	75999	148.83942	43.514687	294.86	-135.28989	-151.60588	32.133892	260.8967821598053
20	-41.439236	115.025276	97.467606	-316.51382	110.59871	193.53181	348.89462	-148.30655	408.8889	848.4	79999	138.71622	44.677914	253.48552	-184.30789	-141.38138	28.842173	277.6393165588379
