Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-40.036674	77.042076	25.997656	-341.3986	-969.6545	972.94904	-45.0772	-2515.1106	145.0	431.5	3999	4.544989	5.1825986	33.47671	-9.540504	-6.035056	0.718008	14.823381900787354
2	-50.553055	96.55094	9.773808	-360.5455	-1165.6357	1335.4952	-40.105873	-2927.4922	162.33333	417.0	7999	53.472656	26.55501	153.62671	-6.0027175	-59.44998	11.778616	32.9436776638031
3	-189.75722	522.5089	8.771143	-2489.461	-360.84387	749.7481	-33.387985	-2599.153	166.85715	136.6	11999	220.51932	73.64773	437.19183	-21.974321	-236.89412	144.39671	49.791706562042236
4	-256.04596	583.6783	-18.25616	-2423.2905	-491.594	827.9161	-21.045753	-2147.1543	113.95122	231.8	15999	439.1518	65.89587	630.38916	-120.218216	-455.46707	474.99802	67.60601806640625
5	-293.26477	468.81964	-20.908167	-1776.0715	-363.11798	463.31613	-23.476074	-1138.4822	221.11111	340.2	19999	564.05334	72.19944	757.818	-231.11212	-580.3468	780.69104	86.10354542732239
6	-269.8487	406.20123	4.1448855	-1118.6207	-423.94122	524.9927	-18.835852	-1287.5232	261.2143	350.3	23999	677.4464	77.0942	857.3195	-345.83524	-694.86426	790.6893	104.59080338478088
7	-681.4156	537.4684	-117.73191	-1258.2883	-93.85789	102.797424	-11.058999	-385.08786	574.6667	62.7	27999	772.68384	75.69984	931.2333	-146.93958	-789.8696	721.2785	121.43504691123962
8	-251.82104	456.21396	-5.01176	-1454.0258	-358.26987	554.3004	-22.81544	-1526.7833	186.45454	239.6	31999	832.9981	74.678825	1053.2065	-249.62749	-848.9188	684.63776	139.35357022285461
9	-349.46994	549.9865	-14.041816	-1599.9067	-423.54224	551.76495	-21.781261	-1556.168	240.75	287.8	35999	852.9053	76.0521	1043.9849	-320.43732	-867.273	611.9775	157.4810733795166
10	-265.44476	480.3676	-14.2505045	-1516.1088	-175.95479	296.67426	-16.790388	-1055.0125	189.42857	130.4	39999	839.8617	74.59961	986.3483	-280.6294	-852.32764	503.13495	174.72314524650574
11	-421.18185	551.17804	-28.469591	-1472.8176	-208.19902	451.4431	-10.287927	-1554.5707	299.45456	142.7	43999	801.9282	71.01225	939.9621	-350.5001	-812.7756	384.75522	192.0949523448944
12	-327.77756	508.71838	-8.858625	-1398.7223	-303.73523	534.2288	-10.294965	-1422.8615	241.6875	230.3	47999	747.187	65.33491	882.6451	-272.55643	-756.4222	303.80756	209.93825888633728
13	-433.47287	583.4747	-18.614468	-1408.81	-231.62956	427.05887	-15.266814	-1496.1957	317.13333	174.0	51999	681.8501	59.68427	812.6602	-470.1224	-689.51733	205.64325	227.51090097427368
14	-403.54837	529.6206	4.1993537	-1438.794	-203.17957	372.96542	-35.669746	-1318.7721	317.33334	137.8	55999	610.45374	53.88284	736.0823	-320.62595	-616.8365	154.05782	244.92782044410706
15	-457.42026	502.51443	-11.515695	-1224.1351	-41.029232	27.39245	-5.800843	-100.89226	381.8889	34.0	59999	538.35175	47.084045	644.7082	-242.61073	-543.69196	113.66153	261.62239933013916
16	-406.27905	519.9396	-11.038619	-1180.4725	-280.6201	382.94095	-7.3949714	-1051.0281	358.25	280.4	63999	468.70215	41.59485	569.2653	-234.43947	-473.18793	91.0805	279.8049690723419
17	-653.74695	472.79895	-61.200718	-1140.4042	-293.99457	402.69968	-6.537925	-1090.9318	616.5714	269.0	67999	404.75583	35.66933	488.00214	-221.70944	-408.5756	58.156395	298.0131664276123
18	-330.0434	404.48138	-6.277401	-971.21643	-286.90057	303.70438	-25.544891	-778.13104	366.8	451.0	71999	346.4435	30.712915	423.36615	-269.24643	-349.6479	46.118744	317.35302734375
19	-479.0157	378.23157	-17.27983	-885.236	-313.85706	341.17133	-24.170546	-849.5603	612.2857	384.4	75999	293.95416	26.298777	363.59415	-248.3451	-296.70044	33.176796	336.21080565452576
20	-301.43622	342.76562	-22.555592	-823.353	-243.26758	240.26303	-6.7567286	-583.8671	419.0	460.5	79999	247.969	22.546696	307.19836	-148.12344	-250.32774	22.72932	355.5089874267578
