Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-27.947206	39.584824	44.80483	-160.5635	-2755.1926	70.943016	-2641.9875	-2853.7214	83.128204	1000.0	3999	3.488814	4.5274587	26.092604	-12.306888	-4.5491905	2.083712	18.178435802459717
2	-53.05586	82.1912	16.003304	-350.19876	-1106.4044	1274.057	-23.760963	-2712.9167	162.04167	415.8	7999	22.82207	12.571691	71.133224	-11.737062	-25.660133	8.08457	36.17067623138428
3	-254.64146	524.574	22.667137	-2454.597	-830.0544	1192.0496	-20.153217	-2725.8762	221.61905	317.0	11999	97.48841	34.36662	191.74554	7.0779753	-105.3314	60.248005	53.9727418422699
4	-223.02014	549.7247	-16.05247	-2429.1028	-543.2463	988.5625	-16.874132	-2527.8691	92.71429	216.9	15999	164.4226	20.92869	229.90698	-31.912384	-169.82016	144.8529	71.68321132659912
5	-240.04166	578.99286	-14.414179	-2326.1843	-714.5585	1011.94653	-18.486286	-2315.714	105.21951	316.1	19999	208.70297	29.452698	300.86035	-53.86996	-216.60136	234.4337	89.8350100517273
6	-302.14572	609.37244	-3.2947564	-2088.6309	-282.04517	592.5261	-16.716179	-2053.7212	152.96297	140.6	23999	259.8151	32.41357	340.66306	-73.686325	-267.81113	316.87756	106.98049020767212
7	-398.39264	665.6148	-11.047333	-1861.1984	-231.73611	413.42868	-39.11166	-1466.055	245.66667	154.4	27999	284.17133	36.249363	376.73926	-109.1174	-291.4948	356.1324	124.27498602867126
8	-211.88304	313.76007	-10.933331	-1259.7622	-441.5834	482.7969	-3.2050254	-1063.1316	180.6842	436.9	31999	297.27103	39.16844	388.0591	-122.969475	-304.2855	333.34723	143.2721974849701
9	-221.21408	292.5803	-5.1391683	-843.10175	-241.51448	296.97922	-25.058926	-850.6931	262.75	267.8	35999	307.5595	39.168568	391.3534	-131.53322	-314.33875	309.45892	161.2300705909729
10	-249.13605	283.78503	-16.14007	-871.25214	-162.04727	244.92635	-22.3696	-855.1143	351.66666	168.1	39999	311.3778	36.62062	397.97675	-115.2655	-317.79517	278.4712	178.72417759895325
11	-217.7654	305.5052	-12.486501	-882.2343	-422.36884	404.5196	-12.352378	-952.5934	272.42856	488.3	43999	310.3861	35.055374	399.0555	-123.21672	-316.41916	244.39961	198.02120661735535
12	-139.76788	242.76588	-8.820356	-976.79614	-79.15843	295.82288	303.07834	-893.2968	160.5	351.0	47999	304.84732	33.522266	383.60492	-149.638	-310.4176	215.34422	216.6509394645691
13	-264.59262	360.67023	-8.55407	-1126.5592	-197.15714	285.04254	-2.479876	-984.7187	270.625	198.4	51999	293.9674	32.028744	358.4449	-131.75012	-299.07043	187.1747	234.2420792579651
14	-309.48294	385.8372	-6.092439	-1081.2805	-372.68732	458.14615	-4.2727876	-1114.5089	301.57144	349.8	55999	278.58417	30.08955	338.10367	-138.0219	-283.19928	157.0871	252.78484725952148
15	-405.78976	421.74115	3.8843372	-1026.7433	-377.5091	473.6145	-14.60002	-1112.0132	436.125	338.1	59999	260.8232	27.329275	320.7162	-125.90951	-264.9563	118.10694	271.2099177837372
16	-217.97716	306.31754	-8.459863	-1123.144	-393.8445	436.24078	-30.081196	-1086.111	223.36842	367.6	63999	240.24751	25.022787	299.25998	-113.91409	-243.93344	89.39355	289.84438967704773
17	-361.98364	397.76175	-17.155737	-973.7377	-520.991	474.1758	-15.291311	-1091.7457	368.3	484.6	67999	217.44453	22.244522	277.76746	-250.47469	-220.6298	68.796646	309.2792670726776
18	-485.28436	462.17017	-19.743734	-1092.1318	-271.17633	365.20764	-24.0595	-1016.29285	477.0	271.5	71999	193.1792	19.677042	250.77211	-127.35092	-195.89626	46.056576	327.33766889572144
19	-223.9633	296.1704	-10.459362	-1001.09784	-314.98663	392.50204	258.59833	-950.67725	258.3125	567.3	75999	167.7697	17.368668	220.90552	-118.012535	-170.06956	31.97481	347.1547908782959
20	-237.65826	331.06097	-7.8821335	-914.8558	-325.9165	337.92502	-13.05266	-780.00006	294.53845	449.8	79999	142.26573	15.369342	192.12088	-75.35413	-144.1957	21.921066	366.51801443099976
