Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-44.954166	76.50912	23.885075	-286.62753	-1879.7291	1191.2344	-42.02023	-2794.8403	171.56522	707.3	3999	2.5011046	3.0212452	20.010584	-10.219894	-3.4819655	1.0711406	15.895689725875854
2	-30.781769	52.357643	20.753061	-290.5985	-1955.6604	1142.9106	-27.617039	-2778.0127	110.48485	726.6	7999	15.751535	6.5480456	44.171776	-10.73306	-18.263758	3.9840524	35.044010400772095
3	-175.1369	366.22357	8.118275	-1866.6633	-537.79175	965.00507	-23.716469	-2491.0059	159.125	219.6	11999	29.998695	4.8261228	52.88705	-2.06659	-32.586166	7.818923	51.12377715110779
4	-329.73483	629.2951	-7.961992	-2274.3337	84.98314	245.87909	631.3585	-170.91315	206.9	613.5	15999	16.205242	6.404641	42.2058	-15.523351	-17.27151	5.1832714	70.44150757789612
5	451.90372	359.09705	797.0783	-105.687454	885.6063	20.744827	915.3299	860.9289	1000.0	1000.0	19999	6.917392	3.7184317	23.834908	-16.464417	-7.986296	2.6773202	92.90107297897339
6	814.7457	6.74249	822.4961	803.94104	849.2116	13.24282	871.4684	827.49115	1000.0	1000.0	23999	9.265507	3.8538883	25.551615	-15.106003	-10.535293	1.9456398	115.10672998428345
7	800.56226	24.058735	841.0546	777.8837	861.4987	19.565422	898.30597	815.79065	1000.0	1000.0	27999	12.884415	3.3817034	29.076187	-12.197904	-14.144868	1.6264608	135.8789930343628
8	743.95996	166.82338	852.2989	455.37915	863.9421	50.364468	959.91113	795.4478	894.25	1000.0	31999	15.075569	2.9161768	30.729685	-9.717676	-16.249428	1.419273	157.05335402488708
9	794.41406	29.076145	828.0646	747.87164	875.87305	25.575058	932.1276	846.9529	1000.0	1000.0	35999	16.085325	2.6579654	31.803623	-9.104578	-17.160276	1.3223711	179.44781279563904
10	533.6005	278.67648	760.00214	49.95594	738.89325	231.48218	868.55457	60.52957	732.8333	906.1	39999	16.350945	2.5643106	31.694883	-9.225732	-17.326952	1.2295551	200.73371005058289
11	579.8187	281.6265	758.3673	19.365257	841.653	46.831314	938.21967	766.50433	807.4	1000.0	43999	16.183575	2.5031164	30.946562	-9.519005	-17.061878	1.1263144	220.16843628883362
12	601.00183	194.2877	742.41364	232.025	826.0358	32.375126	895.07556	794.78613	858.6	1000.0	47999	15.854749	2.4820118	31.245647	-8.95072	-16.664398	1.0663636	239.78326797485352
13	575.5936	202.87878	742.5944	194.77954	863.5207	43.588856	921.41516	794.8499	791.2	1000.0	51999	15.635074	2.5021658	31.07083	-9.392149	-16.386156	1.0423418	259.17845392227173
14	757.6449	87.88544	859.1691	617.2498	851.5582	21.194279	889.0648	815.1785	981.25	1000.0	55999	15.540661	2.493645	31.067415	-10.29537	-16.254534	1.015668	279.0551826953888
15	621.03076	135.58118	778.4264	414.13263	786.0532	191.00667	905.48486	227.72319	828.0	924.5	59999	15.60802	2.467698	31.102247	-9.783459	-16.289175	0.99541	298.0353350639343
16	559.83527	266.7546	799.591	38.536453	844.4818	55.094357	915.4225	768.80115	777.3333	1000.0	63999	15.631018	2.463569	30.852203	-9.761255	-16.288307	0.9739784	317.6819567680359
17	777.542	68.40821	835.7457	662.34235	830.3224	62.8715	925.62335	738.19946	1000.0	1000.0	67999	15.684645	2.4447148	30.731606	-11.43856	-16.311901	0.9522062	340.44412326812744
18	726.24194	113.531	827.033	533.9289	756.51984	64.230934	915.595	668.3395	930.25	1000.0	71999	15.728728	2.41281	31.314407	-11.296443	-16.335388	0.9158247	362.7723581790924
19	776.3459	117.72066	865.8908	576.64905	882.7715	33.627262	933.5954	840.12476	1000.0	1000.0	75999	15.801219	2.4012449	31.327267	-11.999562	-16.391222	0.91785246	385.3210561275482
20	777.035	101.55736	862.39777	606.4422	759.1624	198.84406	917.00806	192.84155	1000.0	915.6	79999	15.815184	2.3638456	31.68301	-11.354328	-16.383556	0.8823916	407.26495575904846
