Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-49.056866	85.63885	16.2216	-349.8074	-68.348335	39.27365	-14.705815	-127.05069	150.04167	35.2	3999	7.808787	7.4043612	40.211792	-6.7096686	-10.035691	0.4659172	12.527667999267578
2	-70.51565	119.992065	10.567986	-444.37512	-1251.8871	1335.9648	-43.531006	-2919.4937	194.22728	434.5	7999	99.26505	64.944824	327.40573	-36.591507	-113.539825	23.362867	30.6551456451416
3	-184.91328	473.8148	5.1726446	-2550.3774	-601.21466	1086.64	-21.29713	-2806.2244	136.85715	220.8	11999	569.13116	187.83893	979.68317	-169.38022	-608.68176	470.1971	47.8459906578064
4	-217.02682	544.5632	-15.643409	-2519.7117	-555.6435	869.9211	-50.385227	-2316.4456	92.567566	241.0	15999	933.0134	97.64083	1173.5051	-292.8328	-956.75696	942.93646	65.75961184501648
5	-210.69926	497.90552	-14.25002	-2205.6812	-71.31838	45.76917	-24.576681	-177.58562	109.1	38.8	19999	1059.1224	106.6844	1262.6287	-694.06647	-1082.6973	1044.2462	82.46136784553528
6	-147.75464	346.16208	3.0302958	-1692.5026	-248.8114	490.37735	-11.02051	-1707.331	94.80851	147.4	23999	1126.3485	111.94222	1332.4999	-1690.6444	-1148.4663	1106.5165	99.7879867553711
7	-267.56088	452.59204	-16.539705	-1565.87	-423.13095	692.8002	-12.710816	-1808.9753	167.79167	243.2	27999	1138.2412	119.266594	1303.139	-841.0453	-1159.2512	1050.1274	117.64371490478516
8	-145.2404	305.32578	-8.646819	-1589.9684	-114.1178	155.4423	-17.69034	-553.8287	102.258064	65.9	31999	1118.3135	114.88583	1307.8248	-710.53564	-1137.2178	1025.0204	134.4511752128601
9	-170.92982	400.77005	-0.6905891	-1688.0294	-247.61807	495.59305	-12.540764	-1713.5417	108.47727	153.6	35999	1072.9581	113.47034	1236.0044	-890.7941	-1090.3226	1048.3169	151.8305516242981
10	-412.34747	622.8084	-11.721819	-1722.9299	-245.04587	447.4229	-31.821487	-1577.5367	262.46667	147.0	39999	1008.914	106.47628	1190.1041	-677.3943	-1024.0968	747.4445	169.2051808834076
11	-250.04372	523.4063	-5.5826015	-1711.9308	-351.78128	562.4635	-32.147907	-1951.8622	150.53847	197.1	43999	938.6578	96.49131	1115.3201	-547.2415	-952.19977	626.3005	186.84627485275269
12	-203.04576	426.27228	-9.091464	-1811.2429	-68.21559	55.009747	-18.814045	-202.54095	117.685715	45.2	47999	858.1544	89.58751	1022.44275	-515.9453	-870.10345	609.9202	203.76345467567444
13	-94.49135	145.12419	-3.5012414	-800.06604	-77.07593	65.752235	-6.981257	-246.88313	61.333332	53.1	51999	774.69257	82.54705	923.3608	-642.68207	-785.28406	600.8248	220.72337937355042
14	-221.15346	506.63522	-8.547863	-1860.4532	-249.10335	579.20953	-15.709008	-1984.9321	128.21213	148.1	55999	693.4647	74.54708	813.1901	-424.76135	-703.099	478.84253	238.16455698013306
15	-191.16896	394.7741	-4.5271583	-1795.5505	-98.37579	157.90761	-14.314855	-563.9928	114.416664	55.5	59999	615.3492	67.68515	741.51886	-503.66348	-623.78986	392.084	255.0091438293457
16	-264.0306	496.46646	-3.7957678	-1886.2268	-553.3289	755.2311	-46.543705	-1953.6655	152.68	302.2	63999	539.0105	60.249104	656.6899	-644.53235	-546.2554	291.6735	273.3640384674072
17	-333.0137	622.88074	-4.830992	-1827.3784	-339.1882	597.9116	-10.453376	-1887.1393	207.78947	189.4	67999	466.30072	52.574795	571.06946	-380.90262	-472.48178	198.46855	291.1017835140228
18	-388.6508	621.78613	-9.2865925	-1759.5659	-510.52246	744.0852	-16.77765	-1917.2953	234.3158	288.0	71999	398.53067	45.20155	509.5154	-315.9759	-403.64597	132.87828	309.38034558296204
19	-381.63293	524.07104	-21.98777	-1405.1547	-207.41043	479.93475	200.5739	-1612.14	245.875	269.1	75999	334.19907	38.895653	437.23328	-233.98393	-338.36206	97.656296	327.5398943424225
20	-142.57932	376.2886	94.50497	-1627.117	-12.080096	101.503075	175.46516	-145.65099	236.82353	279.7	79999	273.6089	33.113888	364.4804	-256.96	-276.99164	63.042244	346.0237672328949
