Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-89.91946	138.91469	16.387703	-388.52164	-46.200043	29.910482	-16.520678	-104.46782	249.875	18.5	3999	2.4193661	2.8014414	18.566341	-7.4917526	-3.4682965	0.41603616	9.510436058044434
2	-45.12788	81.36609	24.044859	-369.69556	-322.10028	713.17725	-21.849922	-2454.3875	160.5	128.4	7999	14.849057	5.969228	39.79501	-5.0268793	-17.156324	1.8324512	21.977912664413452
3	-117.41343	222.27211	14.659279	-1328.4277	-164.24594	247.95279	-8.963983	-745.86145	129.51352	244.7	11999	29.486244	4.7118673	52.244843	-9.54246	-32.167004	4.5149646	35.594549894332886
4	120.45801	267.94955	610.5584	-124.363075	364.12445	238.46414	778.24164	44.971973	395.55554	604.1	15999	23.600155	4.5665436	46.44594	-10.792783	-25.350796	3.6204941	51.742650747299194
5	217.25244	143.82446	527.2502	19.8897	484.22504	348.14203	878.51965	4.881111	447.66666	664.7	19999	20.121832	3.837023	40.28449	-9.397512	-21.590828	2.2064044	68.3043041229248
6	179.03679	166.39243	473.4911	16.004107	305.7427	218.35721	693.43665	49.59956	424.5	544.4	23999	18.21264	3.4925404	36.021816	-6.6281013	-19.44625	1.8377244	84.0880138874054
7	243.50621	189.54182	525.01056	48.486942	279.5152	211.40851	622.02484	61.9406	454.8889	461.1	27999	17.163767	3.3415723	34.897655	-7.342497	-18.276825	1.6858703	99.3080005645752
8	308.2634	150.01746	503.12823	40.338253	436.22247	243.602	723.0956	92.16723	732.0	658.2	31999	16.718752	3.3189688	34.82899	-7.784179	-17.75252	1.5924492	115.9122269153595
9	258.23737	246.4879	719.7633	28.676546	518.6071	198.10568	785.6638	98.632576	388.9	813.9	35999	16.750507	3.3922923	34.72654	-6.6917324	-17.73566	1.54143	133.33392024040222
10	352.26944	212.15227	627.36896	34.142796	486.98016	315.54642	851.99866	23.792685	599.0	721.1	39999	17.02038	3.499997	36.420765	-7.768427	-17.96912	1.4952227	150.40299105644226
11	296.07172	204.37236	536.4954	41.21903	594.5706	246.29936	893.9866	121.51421	636.1429	833.5	43999	17.291506	3.5716684	36.899147	-10.992277	-18.218658	1.5004238	168.1363399028778
12	326.54834	220.56686	634.9344	12.051086	417.81998	337.26508	838.50073	21.222439	621.7143	552.6	47999	17.35608	3.7325137	39.307903	-7.886067	-18.262365	1.4826735	184.19711899757385
13	555.8448	102.32443	705.2133	442.0009	379.06088	289.4473	736.71844	34.638756	1000.0	508.1	51999	17.541061	3.8332062	40.018894	-23.678911	-18.41769	1.451676	199.9380133152008
14	394.9994	242.6977	707.54596	66.49146	576.2288	273.9117	815.0517	29.56794	619.6667	815.0	55999	17.636038	3.8576708	39.504883	-9.660246	-18.489859	1.4025558	217.5119755268097
15	438.70905	267.55725	805.1052	14.9591675	454.7919	257.21042	797.1329	54.98763	751.2	688.6	59999	17.72262	3.8953905	39.44401	-12.16412	-18.554441	1.3999639	234.49863028526306
16	332.29208	210.43486	631.1843	77.89056	323.49078	324.80692	837.2773	11.181403	490.1111	412.1	63999	17.919558	3.9205296	42.93929	-11.1508045	-18.737318	1.3918003	249.6966187953949
17	435.38126	308.90854	942.9986	23.976032	638.5285	257.80652	1019.9269	90.29317	576.0	788.2	67999	18.00775	4.005209	40.076275	-11.768501	-18.808958	1.3682747	267.0951099395752
18	428.44785	234.11414	645.4406	88.65736	547.7565	298.88425	925.19977	40.902058	700.8333	702.6	71999	18.097666	4.0685077	41.24744	-11.113974	-18.882769	1.3672916	284.18628454208374
19	264.77875	232.92235	706.58344	55.727974	366.33673	327.95828	845.7232	23.799591	385.2	418.8	75999	18.092773	4.1426415	42.909046	-9.98711	-18.862825	1.3412299	299.54494524002075
20	228.30818	234.61818	760.9134	19.458609	723.46344	258.39734	952.1001	175.99934	266.92856	859.8	79999	18.161135	4.2213387	42.036945	-12.133569	-18.919386	1.3286867	317.40224957466125
