Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-37.17543	65.20554	28.534063	-290.0561	-50.007793	21.643717	-27.69823	-93.93438	122.04	15.2	3999	7.133839	7.286516	44.64716	-5.6808662	-9.221747	1.4133141	9.704882621765137
2	-40.52421	77.91298	26.127686	-313.8368	-337.50717	848.48566	-30.362911	-2882.625	143.51724	119.6	7999	78.4234	41.96261	203.71797	-10.8172035	-87.64646	29.445356	22.47319269180298
3	-146.1741	436.41193	20.588678	-2409.455	-968.19666	1281.1465	-36.895683	-3008.4988	144.06897	330.2	11999	336.83023	108.29688	591.4801	-73.516365	-360.08432	368.14368	37.159709215164185
4	-725.67456	1043.8197	-14.235331	-2569.8972	-378.19568	784.12506	-33.574062	-2716.9565	287.625	138.3	15999	579.34155	67.65342	752.47925	-117.88199	-596.51526	907.4396	51.83584141731262
5	-265.96106	493.08917	-35.125935	-2368.494	-408.52145	684.73364	-7.692466	-1859.6085	121.030304	228.3	19999	671.27496	71.053566	853.68536	-162.05693	-686.8649	1050.7399	66.71990895271301
6	-364.62976	489.99612	-20.932447	-1326.6139	-108.7215	94.89104	-13.845713	-314.6495	297.08334	74.3	23999	761.5615	82.763916	946.9918	-210.46423	-779.9765	1071.6636	82.10419392585754
7	-172.38121	318.963	-10.265824	-1179.4299	-494.89667	603.5972	-14.30468	-1476.8969	150.17241	358.2	27999	855.63666	84.11457	1028.027	-309.11063	-873.9637	1158.476	99.09652876853943
8	-556.8015	624.0781	-26.80009	-1444.1772	-264.89532	466.3735	-26.50794	-1647.999	407.625	152.1	31999	918.08856	85.42212	1081.3738	-390.5379	-935.5054	1140.2998	114.40072441101074
9	-229.53206	432.96692	-9.134144	-1609.5155	-286.33685	490.8312	-33.16363	-1732.0071	144.72728	179.3	35999	944.4966	83.80569	1079.68	-347.6387	-960.4281	1154.1263	129.75863909721375
10	-239.39769	473.58713	-9.60089	-1737.7434	-209.40588	429.63416	-7.1808677	-1489.1548	146.0	135.6	39999	935.1416	82.849236	1063.6133	-386.65634	-949.3996	1112.4343	145.4221420288086
11	-507.90683	699.48224	-15.293244	-1712.2797	-462.57733	675.8599	-28.532091	-1818.5282	307.33334	257.4	43999	904.523	81.19105	1040.581	-330.013	-917.51514	913.2854	160.86150455474854
12	-415.41205	664.3885	-10.018705	-1700.3826	-774.412	846.6571	-22.846416	-1839.8688	255.57143	432.9	47999	859.958	75.78562	992.31104	-387.86545	-871.6009	694.7723	178.08124709129333
13	-260.78754	508.54132	-13.061599	-1718.9099	-760.7435	889.931	-14.1612425	-1894.6779	159.5	411.9	51999	803.0093	70.04816	940.4799	-375.25858	-812.9783	503.01166	195.35630464553833
14	-719.833	774.89233	-76.11274	-1730.3947	-450.5753	713.0315	-12.227616	-1881.5854	424.125	239.8	55999	730.9296	66.65775	860.84265	-844.63617	-739.3614	493.3974	211.19193506240845
15	-678.1478	742.43274	-27.968103	-1660.352	-317.20917	536.79877	-32.618908	-1850.9108	438.1	177.2	59999	654.01	57.860336	781.93945	-396.37808	-660.9775	288.77814	226.38322472572327
16	-1314.6361	658.7341	0.004182011	-1680.2273	-531.7206	680.0506	-16.523903	-1714.8525	809.2	344.0	63999	574.9251	51.583683	689.35583	-324.25247	-580.6885	212.9794	244.04338788986206
17	-609.1972	635.65967	-17.497059	-1509.6737	-667.17816	632.9966	-51.779163	-1592.4897	449.2	532.3	67999	497.00772	45.05238	611.2723	-297.8179	-501.79257	150.773	262.3286507129669
18	-522.6505	470.01337	-85.90902	-1171.4886	-137.55222	477.44424	561.9861	-1056.7571	471.125	652.1	71999	422.64853	39.043194	531.8258	-249.65668	-426.38593	107.39923	281.7798376083374
19	-513.91	454.43558	-25.010195	-1148.4867	-143.23715	133.27246	8.12838	-387.9588	475.5	713.0	75999	353.4942	33.526283	448.95596	-259.42148	-356.5764	81.64982	301.29473662376404
20	-206.0719	294.12286	-12.461979	-971.7195	-40.216812	207.38158	433.85803	-484.7472	439.8	463.4	79999	291.61725	27.743114	370.46143	-206.76468	-294.12225	49.420124	319.6826298236847
