Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-51.338303	89.82792	3.6202888	-402.31265	-2039.3982	360.26694	-1083.2794	-2375.3323	123.5	1000.0	3999	1.0458394	2.0158007	12.568223	-10.333506	-1.8468003	0.7391298	15.513888359069824
2	-33.361465	63.63683	16.280783	-319.9672	-877.6569	1219.4468	-51.340504	-2771.7126	104.129036	320.9	7999	9.881093	4.687153	33.304276	-9.826374	-11.687761	2.7056513	29.304256916046143
3	-146.01984	296.8779	0.5729573	-1640.2382	-463.86017	697.99915	-24.14134	-1862.5421	141.7	252.5	11999	17.55911	3.915758	38.22172	-5.552373	-19.307953	4.435191	43.09314036369324
4	-55.294346	716.4186	749.0422	-1817.1113	862.2582	6.169877	874.0456	850.39667	496.0	1000.0	15999	9.947509	4.150158	29.879461	-13.491635	-10.931587	3.417958	62.06959414482117
5	855.8594	12.013296	867.418	835.9439	934.15704	4.055894	938.54144	927.0471	1000.0	1000.0	19999	9.956253	4.144748	27.078617	-13.2825985	-11.167795	2.0651145	81.16454148292542
6	848.57947	18.302954	873.8158	829.9395	897.5939	51.032257	947.3535	808.69904	1000.0	1000.0	23999	14.547473	3.5926757	31.018112	-9.992762	-15.848036	1.6648159	100.23011326789856
7	774.73724	103.45334	868.4798	616.07104	749.7684	247.79677	886.8182	18.426977	1000.0	901.5	27999	17.295382	2.8501303	33.15311	-6.421702	-18.493557	1.4883488	118.5465943813324
8	707.8973	35.565067	750.4501	656.0737	764.05725	104.49889	904.6276	607.19653	1000.0	974.3	31999	18.09783	2.6820393	34.716316	-5.1786504	-19.16577	1.3799263	137.21593618392944
9	581.02136	223.6864	760.27924	198.99991	715.8796	265.13794	935.5484	142.0226	824.75	847.1	35999	17.892345	2.6485834	33.97924	-6.0071793	-18.834724	1.2682416	155.30343222618103
10	478.40454	219.75676	745.31244	86.9998	859.41437	58.140102	896.90405	686.76733	734.6667	1000.0	39999	17.2256	2.5942938	33.492016	-7.4276834	-18.047493	1.1638244	174.19055271148682
11	793.7108	53.873486	846.16565	706.45886	869.23065	5.7550235	875.58704	854.78186	1000.0	1000.0	43999	16.530912	2.51808	33.56121	-7.654696	-17.270609	1.0740075	193.33989429473877
12	735.4271	70.099754	808.9564	638.2308	861.05304	8.573527	874.84186	847.0379	1000.0	1000.0	47999	16.19128	2.4103727	32.174854	-7.8505106	-16.88651	0.9680729	212.56938290596008
13	723.51337	106.2928	840.9682	582.0539	866.06036	42.742065	921.01697	752.5742	980.0	1000.0	51999	16.136889	2.3415184	32.916096	-8.1212	-16.793276	0.8880891	231.57226657867432
14	777.71265	103.10443	879.9114	639.40576	851.6763	17.5082	902.5974	841.49945	987.25	1000.0	55999	16.04968	2.3142316	33.047665	-7.204584	-16.672667	0.8525784	250.6807782649994
15	592.9063	306.87628	885.3425	10.4334135	880.84064	34.758617	935.51483	828.8936	805.0	1000.0	59999	16.038795	2.2530978	33.014767	-6.5754237	-16.628937	0.8265213	269.7709436416626
16	755.2389	195.70604	914.26917	382.63226	795.8412	213.09254	947.75793	223.50087	885.6	904.3	63999	16.048994	2.2515755	32.902943	-7.9445786	-16.616993	0.82863295	288.1702606678009
17	661.72845	347.81482	926.8126	65.487785	744.16254	248.18521	950.99475	188.2857	775.25	860.1	67999	16.129196	2.240613	32.920418	-6.451869	-16.676355	0.8043107	306.1901698112488
18	830.9751	42.2261	880.3366	776.93634	867.60156	136.69923	943.7767	465.70123	1000.0	962.0	71999	16.248451	2.2281182	32.81871	-6.8384404	-16.780025	0.78093004	324.9276542663574
19	762.80597	76.58877	848.32294	638.68933	837.5643	229.3808	1016.3784	165.75188	1000.0	916.2	75999	16.29744	2.2394097	33.819225	-6.3693438	-16.816439	0.7874618	343.3195114135742
20	788.3567	66.77166	896.9359	714.703	891.9263	34.988895	939.9555	834.9582	1000.0	1000.0	79999	16.339497	2.200884	33.068302	-7.133562	-16.837694	0.77228665	362.35801124572754
