Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-38.41934	73.478226	30.549238	-363.62866	-2512.9724	8.381446	-2499.8877	-2532.403	135.66667	1000.0	3999	3.923335	4.4377637	26.541595	-5.5123363	-5.0510345	1.9012619	15.547316551208496
2	-69.14072	106.9875	14.61378	-378.40262	-2520.669	317.90704	-1613.6833	-2846.2825	225.47368	962.3	7999	22.17435	9.099837	59.621464	-2.4694755	-24.337921	7.7664914	33.06926608085632
3	-195.92366	489.34534	29.914665	-2534.4827	-1192.655	1101.9624	-149.91	-2575.7727	147.65384	468.1	11999	59.746376	12.822608	106.38473	12.522333	-63.34296	25.555676	48.04005289077759
4	-1293.514	1036.7819	-40.91329	-2349.7083	-316.81656	630.20917	-27.02891	-2197.3179	595.2857	146.7	15999	87.93209	8.851067	127.5062	12.934795	-91.01451	38.713696	61.69985365867615
5	-243.8291	462.8228	-19.717834	-1934.5895	-393.829	658.48676	-22.675306	-1718.5186	121.55173	226.0	19999	95.77459	9.071217	129.05376	0.57623833	-98.92011	40.95095	75.68107914924622
6	-304.40897	502.73248	-8.559631	-1560.303	-198.37704	372.42538	-20.68834	-1304.0107	213.52632	164.7	23999	107.77505	9.776768	139.71208	-12.384335	-111.09315	52.906097	89.33555912971497
7	-505.40375	465.5758	-8.020509	-1228.2651	-100.956154	212.05678	175.72282	-688.74976	489.66666	346.6	27999	110.7999	11.350857	140.63663	-19.212975	-113.68521	47.221264	104.1331889629364
8	-223.51831	252.62334	-17.275259	-725.3523	-249.13525	223.18132	-24.913876	-578.6329	342.45456	560.2	31999	108.03407	12.094712	139.63048	-29.139389	-110.57087	39.21296	120.225594997406
9	-198.99002	181.65625	-4.406418	-451.63574	-33.882393	119.41137	247.80997	-206.91043	457.0	473.0	35999	103.10756	11.727946	133.87624	-33.018158	-105.38386	31.845276	135.85233092308044
10	-124.39009	98.14281	-14.5594425	-340.44485	-123.58396	93.14522	-19.882698	-262.17044	439.2	550.4	39999	97.19038	10.644757	131.75545	-32.617188	-99.214096	25.314302	151.82129526138306
11	-55.02792	97.3244	78.85053	-222.57211	71.00982	133.89584	370.68076	-64.96061	692.5	771.4	43999	90.15792	9.653078	125.77911	-35.46443	-91.98467	20.503492	169.2082998752594
12	-24.452314	48.753925	101.660995	-100.31177	407.30188	215.20226	631.4346	-43.75156	368.1	860.3	47999	83.97693	8.551053	116.02684	-29.727663	-85.64318	15.9992895	187.29754853248596
13	36.990005	87.6824	289.61935	-20.319078	369.99408	206.0026	554.8231	33.978245	409.4	778.9	51999	78.07928	7.8652244	109.444115	-33.29323	-79.622345	13.524877	204.8386311531067
14	140.9666	141.41629	372.92938	-11.293661	662.7926	250.42996	857.6399	2.2850738	798.8	903.4	55999	73.01216	7.187126	105.392715	-39.190517	-74.44527	11.332945	223.12392330169678
15	377.64014	111.10907	497.54953	258.96173	673.02185	97.75802	797.61444	493.90912	1000.0	1000.0	59999	68.78571	6.6156583	99.41018	-34.579414	-70.15163	9.072326	242.2176856994629
16	452.5314	178.36417	611.5276	113.292694	714.1183	98.42418	868.71515	509.69284	843.6	1000.0	63999	66.18474	6.188201	94.6071	-30.12273	-67.49967	7.421797	261.1600534915924
17	586.18744	69.47267	661.6516	500.99387	864.4744	6.178024	870.7651	850.41534	1000.0	1000.0	67999	64.97693	5.981756	93.33785	-30.516964	-66.27378	6.386989	280.15011978149414
18	698.12506	46.064163	771.1093	651.65497	890.3591	11.250561	909.74927	871.43353	1000.0	1000.0	71999	65.21459	5.8182173	92.858215	-28.056278	-66.506966	5.727265	299.27428364753723
19	714.64777	18.965912	736.89856	690.5636	834.4935	51.82716	895.15814	769.5574	1000.0	1000.0	75999	66.519165	5.63089	93.48452	-28.546463	-67.79562	5.0156837	318.3486943244934
20	641.13837	96.14414	709.66595	475.78415	811.79926	22.148499	846.3923	772.5777	1000.0	1000.0	79999	68.49928	5.7059727	97.06806	-22.858438	-69.75829	4.530852	337.4810700416565
