Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-51.982353	95.00956	27.252579	-372.0832	-749.114	1042.3024	-25.396265	-2348.511	149.5	324.7	3999	3.3271568	3.648892	23.641174	-13.400635	-4.666857	0.737364	11.313198328018188
2	-60.968643	129.15936	48.969433	-436.4023	-2363.3547	107.542694	-2142.9907	-2485.3804	213.375	1000.0	7999	19.373526	6.7598734	45.828445	-8.347545	-22.142946	2.8440042	29.151091814041138
3	-133.21184	316.15146	50.858047	-1485.4967	-214.47061	290.54483	-9.500639	-823.57416	172.875	266.9	11999	31.5128	4.788031	55.019188	-6.9451895	-34.069893	5.4102407	42.88465476036072
4	43.4338	483.02298	541.4608	-747.42	757.61487	254.37682	923.5254	31.499435	1000.0	905.6	15999	22.545948	4.669218	45.643787	-7.157061	-24.100378	2.9385817	61.05307173728943
5	383.7816	230.91714	676.9232	61.97866	507.03476	316.50656	893.64154	13.466174	650.6667	693.3	19999	18.085213	3.6674175	36.33911	-6.401698	-19.374243	1.6148125	77.79092645645142
6	325.45566	212.31606	580.5575	44.91631	514.2008	280.45483	904.1872	28.919403	628.8333	767.0	23999	16.055992	3.3200738	35.86006	-7.3115754	-17.118568	1.3808537	94.91073346138
7	388.91684	217.5761	656.50476	84.84288	670.8709	211.31847	869.98975	61.817432	678.5714	916.2	27999	15.108295	3.1244342	35.22571	-6.9085174	-16.066671	1.2330498	113.07925844192505
8	283.71423	221.5934	655.28735	10.453211	535.2146	309.9923	828.7165	34.246876	513.75	762.0	31999	14.990096	3.0023007	35.82809	-7.658228	-15.8856735	1.1554261	130.3410406112671
9	345.2963	239.78357	649.1617	71.7363	516.5411	325.74683	877.5144	24.899654	604.3333	677.1	35999	15.133268	3.003118	37.52524	-8.756818	-15.968952	1.1360687	147.17033553123474
10	292.25684	247.18575	585.818	-1.8064635	322.31873	292.28983	787.7924	7.299888	495.875	613.4	39999	15.190914	3.0033062	36.179207	-7.264052	-15.980929	1.0995591	163.6729917526245
11	534.8795	222.54033	692.40765	101.483284	626.1468	309.91135	892.7783	33.4444	832.2	812.7	43999	15.315506	2.9817724	36.0129	-8.869739	-16.081823	1.0866746	181.50509214401245
12	405.27356	238.95822	608.4835	64.16366	487.20898	347.77335	858.24756	26.073391	701.0	604.4	47999	15.53543	2.9226882	34.816807	-9.283578	-16.27776	1.0518173	197.932142496109
13	407.7806	243.30275	684.2727	62.77192	585.41754	254.6948	843.8926	191.16553	620.5	752.0	51999	15.670285	2.9566777	35.161575	-7.90641	-16.387125	1.0472434	215.1704807281494
14	486.1536	286.723	701.21295	54.055107	451.83807	376.63358	892.62946	15.467118	694.3333	556.3	55999	15.812488	2.9820342	35.149662	-7.6904197	-16.506815	1.0108309	231.42835903167725
15	544.6325	270.39542	838.06384	108.16209	624.3914	322.14615	869.6296	26.755552	683.8333	744.1	59999	16.049126	3.0413601	34.61643	-8.231318	-16.732822	1.0157111	248.77884674072266
16	572.4034	275.7133	767.62274	98.95765	713.1636	77.74247	921.47906	627.268	772.25	1000.0	63999	16.359043	3.035226	35.594124	-6.223435	-17.034367	0.98006386	267.5104579925537
17	421.19012	280.46088	789.9158	32.089485	590.47534	362.2915	915.0478	61.37453	590.5	665.3	67999	16.5854	3.1101413	38.244545	-6.378447	-17.241678	0.9740886	284.3334770202637
18	648.2089	233.36761	816.01764	190.10597	435.79004	367.08826	947.30963	20.223103	848.6	534.4	71999	16.684904	3.1766515	36.232334	-6.8436856	-17.332636	0.94306296	300.43415093421936
19	502.3924	286.66302	810.07153	101.18747	543.46765	286.8698	793.50397	19.007833	680.2	692.8	75999	16.939846	3.2630198	37.72232	-6.3003755	-17.584621	0.9340273	317.93689727783203
20	679.75476	106.11252	791.31256	549.0341	717.6087	305.27545	956.84674	80.17282	1000.0	823.9	79999	17.042873	3.3027766	37.218685	-7.5787325	-17.668867	0.9173272	336.64819383621216
