Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-35.26707	57.758236	37.865353	-269.84836	-2997.031	1.2311774	-2994.4028	-2998.7324	110.793106	1000.0	3999	2.5135994	3.1730428	21.497742	-9.99639	-3.38613	1.5730342	14.41035771369934
2	-122.94003	138.73645	-7.8607554	-349.60046	-2990.7532	7.6223536	-2975.6882	-3003.3274	375.66666	1000.0	7999	30.780823	20.335957	110.66267	-8.429522	-35.426308	14.476535	31.082985639572144
3	-944.44403	1088.9109	-7.5347037	-2646.0571	-2911.9336	64.11126	-2779.0278	-2985.9211	690.5	1000.0	11999	166.72792	52.545784	306.7172	40.131863	-178.2291	143.82962	48.24023079872131
4	-1719.0267	1181.2078	-33.99491	-2622.7637	-141.17502	101.054276	-38.98441	-352.10275	674.5	52.1	15999	284.04733	21.61153	363.75348	121.08254	-291.66193	229.95358	60.02332353591919
5	-269.10703	562.74176	-18.17879	-2538.0632	-77.682144	54.869938	-19.145468	-216.76505	109.22222	30.6	19999	351.9574	49.809296	502.2868	135.97961	-364.60263	372.81458	71.71029496192932
6	-594.64325	998.36456	-34.274235	-2534.55	-604.8506	1010.1175	-22.46293	-2619.0354	237.64285	231.8	23999	480.26657	52.051437	646.685	138.64583	-494.78406	710.38416	84.50384640693665
7	-320.3708	680.97766	-16.525173	-2462.3428	-103.87278	55.798115	-42.818016	-223.28123	133.76471	39.3	27999	566.54346	52.269886	712.18225	-46.342453	-578.9745	983.1881	96.14955878257751
8	-618.1822	975.21204	-24.548748	-2446.2747	-58.503258	51.46289	-22.746828	-207.26976	260.15384	24.6	31999	588.85474	63.39323	739.57007	-189.60126	-599.2812	1072.1147	107.7327208518982
9	-215.90973	578.6918	-16.789322	-2393.127	-849.2135	1123.033	-25.240408	-2608.2466	93.4186	331.1	35999	577.79736	74.15498	730.2021	-303.8877	-586.61725	1052.2173	121.15983819961548
10	-438.35022	792.3963	-21.876959	-2277.7485	-769.48114	1003.19977	-44.92069	-2336.402	202.79167	335.1	39999	544.15454	83.61453	712.57495	-370.4942	-551.9678	968.0018	134.62916254997253
11	-426.75723	755.2152	-19.583769	-2155.2593	-520.8823	835.95386	-33.121544	-2205.6619	207.17647	237.2	43999	511.95337	86.71299	672.5647	-367.6391	-519.37115	778.2565	147.49264526367188
12	-388.06345	652.5806	-19.06303	-1967.0072	-284.9195	603.79535	-27.210638	-2093.614	195.95	135.4	47999	478.89603	88.84637	637.0574	-338.24564	-485.73367	672.1316	159.77219128608704
13	-297.87357	582.24695	-12.980255	-1816.8905	-644.8755	636.34033	-28.010675	-1870.1964	169.63637	451.4	51999	449.5864	85.79366	610.4728	-286.74448	-456.19745	549.9078	174.04308438301086
14	-644.7318	672.3129	-24.805233	-1645.9058	-314.0916	360.22375	-30.460453	-1232.0186	420.54544	273.6	55999	422.27744	83.20112	566.4054	-291.6427	-428.58414	498.03238	187.3084192276001
15	-234.30606	335.54822	-16.120386	-1295.8639	-322.613	367.83987	341.70364	-745.55066	229.375	551.3	59999	395.5344	76.99185	528.2354	-241.41762	-401.38257	399.09314	202.23202633857727
16	-290.677	418.27112	-33.3452	-1630.1104	-566.51526	410.22116	-37.215675	-1112.5477	228.8421	587.5	63999	369.04352	70.86719	501.23068	-235.53389	-374.494	357.7702	217.2887110710144
17	-608.6674	489.1107	-80.941986	-1217.257	-546.7257	630.9807	410.97687	-1329.6888	618.6667	694.1	67999	342.19028	65.48905	462.64044	-182.48247	-347.28738	311.50967	233.07364201545715
18	-832.6077	510.89975	-19.755568	-1279.2158	42.276234	508.09045	625.3831	-1110.1	703.5	729.6	71999	316.67654	59.36459	434.54544	-179.55965	-321.26315	255.64294	249.03363680839539
19	-265.53015	378.28162	-16.765034	-1108.0242	-253.41	223.398	-21.489258	-730.697	280.0	371.7	75999	289.60858	52.79676	395.67438	-217.65657	-293.7795	212.08957	262.87179827690125
20	-394.0843	378.37283	-32.42259	-1048.2302	-195.90863	253.77316	-31.442396	-867.6066	449.33334	293.8	79999	261.79004	47.447605	354.73416	-141.46352	-265.5565	164.20503	276.2275516986847
