Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-65.75947	102.80447	5.831352	-358.72385	-1967.3674	1171.1823	-119.33071	-2853.135	199.75	721.0	3999	4.67665	5.4232554	32.206055	-8.755493	-6.220831	1.8148398	16.763985872268677
2	-44.8445	85.65524	38.009834	-369.2399	-350.1011	833.90155	-23.723383	-2848.862	147.96297	121.9	7999	45.417816	23.144112	115.36381	-3.7767668	-50.59425	16.532259	33.053163051605225
3	-325.42126	671.5571	16.620712	-2465.805	-333.4942	764.7788	-21.347883	-2620.8777	246.86667	128.1	11999	183.28268	60.096703	340.14716	33.4127	-196.88828	152.25316	49.81133198738098
4	-357.25894	739.50183	-14.608169	-2426.6416	-430.91425	773.03546	-29.99026	-2429.9954	151.84	172.9	15999	329.0204	33.688564	447.9487	47.814037	-339.6127	398.60153	67.28093075752258
5	-276.12396	635.706	-15.910583	-2222.4639	-261.2518	610.36664	-24.230536	-2090.149	128.89655	122.5	19999	380.41904	32.474266	473.75354	-10.051596	-388.925	532.29376	84.46461582183838
6	-627.702	762.3476	-25.447088	-1862.3749	-86.71644	85.23958	-10.871206	-296.0243	360.0909	53.7	23999	398.59232	44.73802	535.48334	-48.840622	-406.89075	527.0185	101.22683620452881
7	-368.20728	512.3586	-14.855913	-1340.7118	-75.55405	83.18662	-17.707367	-302.06488	282.05884	57.5	27999	416.91452	52.105656	540.6229	-63.329655	-425.09113	483.47452	118.09441065788269
8	-311.0661	410.29532	-33.55068	-1083.9204	-173.64001	303.4295	-15.784114	-1067.243	284.92307	154.0	31999	426.1902	53.44249	542.5864	-101.35047	-433.91418	459.328	135.46336674690247
9	-284.69485	383.84372	-7.587826	-1016.42413	-206.67407	188.78773	-29.962515	-691.3015	279.69232	351.4	35999	427.22763	54.406033	548.9191	-131.2166	-434.41827	431.30582	154.1248905658722
10	-469.21997	409.50522	-12.097846	-1002.0034	-215.66963	270.74738	-29.588646	-869.23914	464.1	349.4	39999	420.5422	54.2676	539.89856	-146.02588	-427.11713	376.3586	172.7953085899353
11	-235.08807	336.41998	-17.39935	-943.5295	-269.92352	324.1656	-9.885506	-931.8576	250.875	289.3	43999	406.7335	52.157093	527.1978	-169.57475	-412.7466	326.9146	191.1060664653778
12	-240.84808	304.0269	14.305138	-821.42065	-74.05608	50.218113	-11.219502	-171.50186	303.84616	78.0	47999	388.6267	50.215733	503.68314	-191.08975	-394.13943	288.856	208.13085103034973
13	-163.78879	233.77625	-1.7100471	-855.36566	-230.65047	314.81723	-26.806334	-858.3218	182.35	350.2	51999	367.82327	47.21178	484.96112	-191.09932	-372.89438	255.59653	226.78203105926514
14	-492.68024	357.4756	-51.21451	-886.5331	-342.24628	365.73087	-3.2520149	-889.683	621.2857	442.5	55999	344.1389	43.24285	448.20352	-176.097	-348.737	203.41043	246.08216071128845
15	-201.08928	261.9912	2.0667553	-853.63354	-308.9505	365.59503	-14.313967	-899.4288	225.0	351.6	59999	318.83447	38.339474	404.85165	-157.95914	-322.90057	152.54237	264.72033071517944
16	-301.09714	347.86795	-12.899676	-905.2547	-322.28558	381.1228	173.24535	-815.3319	351.07144	536.3	63999	290.33887	34.210278	378.45242	-175.18294	-293.90112	122.63158	284.46464586257935
17	-179.11346	225.8027	-8.299138	-757.2077	-185.77829	311.6476	-8.43632	-858.26746	230.88235	237.1	67999	260.88647	29.924839	336.8598	-173.49411	-264.0324	96.19148	302.52338790893555
18	-273.52682	303.32648	-5.0034623	-821.4374	-250.3378	327.1606	55.991005	-825.4742	362.45456	455.5	71999	232.42683	26.34731	299.93832	-142.82674	-235.19766	71.133606	321.910062789917
19	-239.5282	288.40833	-9.154696	-690.6984	-246.45369	295.39194	147.27385	-716.52747	379.5	554.8	75999	204.8625	22.93839	262.36023	-148.42183	-207.2771	52.13495	341.8175563812256
20	-317.84396	271.4394	-22.968462	-700.3636	-59.252937	55.728935	-10.447634	-180.63754	444.44446	346.7	79999	178.50983	19.37338	234.03117	-111.55611	-180.59775	35.47663	360.6451699733734
