Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-37.831257	47.583942	19.497492	-204.02591	-618.5673	1071.555	-34.01285	-2797.301	137.53572	223.0	3999	8.938695	9.634413	61.689144	-8.797012	-11.599792	2.1992395	10.10807752609253
2	-35.80577	52.432003	22.592384	-288.91403	-374.83942	867.7666	-21.310139	-2970.9883	105.51351	126.9	7999	149.19975	96.39859	449.40976	-83.12671	-170.2742	114.19209	22.383983373641968
3	-255.4302	623.4718	-0.8516806	-2724.5671	-190.90483	150.54544	-34.961937	-467.76907	189.4762	61.8	11999	914.0477	377.83917	1893.8033	-302.00253	-996.5536	2434.6482	34.708802461624146
4	-812.0009	1076.3265	-32.073257	-2685.7534	-2995.4902	14.13067	-2973.6597	-3018.005	306.5	1000.0	15999	1841.041	223.28183	2360.712	-574.5091	-1896.9525	5835.842	54.31581497192383
5	-1210.703	1183.7728	-82.24541	-2685.8186	-361.54587	853.80853	-35.357204	-2921.6833	448.3	127.3	19999	2116.0383	221.22934	2638.0034	-946.5452	-2157.7676	5715.842	69.5744137763977
6	-613.268	984.74097	-32.451683	-2740.5864	-1844.6357	1388.8223	-29.754347	-3020.3372	227.35294	619.2	23999	2150.1096	211.72702	2613.817	-1622.7834	-2180.82	5855.613	88.07641673088074
7	-351.33746	720.17065	-23.36118	-2643.8125	-939.5376	1329.7565	-23.815996	-2978.9902	133.64516	317.3	27999	2060.9502	193.65865	2510.416	-1747.9161	-2086.5925	6663.884	102.63813948631287
8	-1125.2891	1208.3616	-40.014668	-2712.0815	-619.6023	1065.4404	-25.983606	-2912.068	419.22223	210.3	31999	1924.1211	172.07518	2275.8525	-1343.9725	-1947.503	5347.378	116.10766768455505
9	-432.16464	838.85913	-39.62013	-2728.8188	-368.3066	865.0362	-34.942448	-2960.872	162.54167	124.8	35999	1757.323	152.89006	2099.373	-3390.9946	-1775.588	4473.2793	129.4567482471466
10	-851.38635	1168.5607	-14.586722	-2701.8333	-1863.782	1385.611	-67.14257	-3039.251	318.53845	622.8	39999	1586.3779	141.13419	1928.0068	-2211.3237	-1603.5852	3715.401	146.1043426990509
11	-559.1509	991.93396	-33.94785	-2734.2288	-669.85565	1141.1316	-33.150475	-2992.003	208.64706	228.8	43999	1422.5212	133.60492	1737.778	-1309.7544	-1435.2383	2780.709	160.09632301330566
12	-730.97375	1068.4584	-42.418556	-2718.2788	-653.59326	1133.566	-44.723717	-2927.609	276.58823	225.4	47999	1254.4233	114.58939	1524.2373	-960.2078	-1266.1703	1853.2583	174.1878879070282
13	-521.1983	940.0055	-30.59888	-2720.8826	-1510.7091	1357.629	-26.232119	-2931.5737	195.47368	527.2	51999	1096.696	103.89014	1329.7577	-862.63116	-1105.7686	1324.0831	190.15973329544067
14	-933.23004	1201.4653	-21.541447	-2664.253	-1559.584	1387.2042	-45.18535	-2985.5225	359.33334	533.4	55999	933.68915	97.44438	1164.0258	-611.6847	-940.7362	1047.0497	206.21081352233887
15	-526.9429	927.81946	-22.327278	-2656.9033	-380.52487	857.34436	-25.53619	-2950.486	199.44444	133.7	59999	785.8295	86.26213	987.5696	-707.6714	-791.86597	781.11285	219.44936180114746
16	-1815.4811	1186.7919	-105.82845	-2676.942	-2125.745	1230.8445	-104.29898	-2972.165	683.1667	724.4	63999	649.1403	72.51349	829.0091	-590.4443	-653.757	500.91406	236.5258228778839
17	-322.33533	713.3659	-28.818716	-2627.3816	-387.39655	881.2218	-30.642536	-3019.481	126.617645	131.6	67999	528.74646	60.837845	671.69904	-505.93625	-532.6785	353.6479	250.03851866722107
18	-621.632	991.4394	-38.132133	-2711.635	-718.33716	1130.7074	-28.356918	-2976.0952	234.375	244.3	71999	424.3594	52.35875	547.1378	-301.75317	-427.39886	238.20627	264.1557402610779
19	-1030.9023	1242.1302	-45.72449	-2699.8938	-1259.4559	1398.7616	-56.729355	-3010.6802	383.81818	425.2	75999	327.1785	44.737724	451.91782	-301.58994	-329.33673	141.06497	279.29279494285583
20	-863.06165	1174.874	-40.380054	-2696.5134	-660.432	1148.3969	-26.39775	-2966.3267	326.0	223.4	79999	240.24512	35.74785	324.8422	-425.60754	-241.79897	75.852486	293.3415307998657
