Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-56.924053	91.11238	53.790405	-319.99548	-867.596	1037.8368	-51.963932	-2850.0918	206.89473	357.6	3999	1.1365147	2.3521461	16.361893	-14.682927	-1.5070591	1.0777009	11.614990711212158
2	-63.322357	95.615715	7.2144513	-400.1183	-2581.895	186.66742	-2188.174	-2715.8425	172.43478	1000.0	7999	9.748577	8.496628	54.010284	-17.957912	-11.413641	5.518511	29.546053409576416
3	-90.027824	317.85455	23.858088	-2546.5781	-878.75146	1215.09	-32.14058	-2796.2715	64.71429	322.7	11999	49.22632	18.206963	107.928085	-7.379513	-53.2458	29.454884	43.69264531135559
4	-570.41583	945.0171	-19.622684	-2508.8035	-158.2861	115.58023	-22.461771	-471.66745	231.53334	63.4	15999	76.18733	9.24487	114.95339	5.4573708	-78.94272	50.889027	56.82056260108948
5	-466.6758	605.6394	-42.843117	-1878.3994	-149.20944	145.1561	-25.32446	-491.75696	342.0	287.8	19999	75.55324	9.874012	107.90172	-8.550204	-77.999016	41.89432	71.30991077423096
6	33.90349	185.13559	413.89008	-280.19406	582.2433	317.20816	828.51733	-22.476875	470.1111	803.3	23999	77.82713	10.391987	105.82239	-13.3127575	-80.42535	33.255585	89.1028642654419
7	192.72179	212.11865	563.6433	-49.208843	606.8165	222.37117	779.19507	-22.36844	498.14285	902.6	27999	86.88484	10.848578	118.494026	-18.234806	-89.555275	30.28241	107.5015516281128
8	87.94099	207.54082	614.86865	-60.74247	341.73102	321.26205	763.32574	-31.356094	411.63635	658.7	31999	97.89444	11.021246	133.62634	-25.392723	-100.561264	31.59182	124.4517912864685
9	-50.30575	79.84742	57.385033	-253.97162	-0.26991957	226.04716	613.85034	-278.51535	314.76923	397.7	35999	108.41062	11.511982	142.70653	-38.917965	-111.00069	34.21222	139.6253547668457
10	-60.668926	64.45077	-3.795333	-233.939	-91.85647	139.34074	18.064379	-366.88156	205.4	468.8	39999	115.91193	11.736312	150.06627	-28.435575	-118.42476	36.385777	155.23342156410217
11	-50.343254	73.5638	9.725508	-344.21054	-93.76395	92.86058	25.837568	-250.99644	199.1	422.5	43999	120.85749	12.464144	153.77249	-43.116257	-123.29027	39.93515	170.6140637397766
12	-95.17073	77.91522	25.845955	-258.51807	262.83844	245.91315	718.7204	-49.197605	411.75	653.2	47999	123.31266	13.068768	155.6906	-46.87447	-125.64064	38.147484	187.47472381591797
13	-80.07891	122.66067	25.722076	-352.84454	126.69835	208.20102	612.1368	-80.54294	500.66666	561.8	51999	124.12041	12.620821	156.90585	-43.791855	-126.2702	33.48232	203.71995544433594
14	-94.57368	106.633095	10.989757	-296.1916	374.30817	298.70386	718.5851	-56.190716	558.8571	783.3	55999	122.10245	11.991363	155.03363	-47.62603	-124.074356	29.962738	221.38575196266174
15	-68.83347	74.63439	3.7531826	-194.14613	120.74862	163.70036	476.1767	-63.758984	715.2	447.3	59999	118.58747	11.497238	148.9847	-48.579716	-120.41436	25.726416	237.00273442268372
16	31.980522	78.65664	177.76196	-53.741356	472.53204	331.5858	788.80695	-17.042038	701.5	733.9	63999	114.15814	10.845604	143.90117	-41.24178	-115.857544	20.68245	254.39143300056458
17	-13.046631	191.1417	236.81927	-282.3868	705.5155	109.06796	836.9606	452.36716	928.25	1000.0	67999	109.29524	9.997439	142.19351	-50.379387	-110.85399	16.877438	273.4699037075043
18	304.46454	137.3719	460.3085	72.87348	646.33655	229.04642	825.3574	2.6565847	825.8	901.5	71999	104.42161	9.619816	136.81311	-47.17639	-105.88723	14.172725	291.99723863601685
19	296.38187	208.24725	490.07147	4.6847634	648.7962	136.88652	820.20215	467.6946	684.6667	1000.0	75999	99.78216	9.228281	131.46379	-44.80509	-101.14525	11.553421	311.0610246658325
20	472.9633	108.09989	633.2704	349.14374	684.2854	66.299194	815.76886	561.9684	908.8	1000.0	79999	95.47442	9.077106	127.30783	-51.30052	-96.762955	9.466332	330.2753231525421
