Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-46.58456	84.517685	15.497465	-345.9025	-916.2806	1211.7374	-29.582474	-2868.1343	141.17857	330.1	3999	2.149479	2.6292846	18.142479	-6.276682	-2.830298	1.3385253	10.356687545776367
2	-34.283943	59.146378	23.660345	-330.5003	-2985.2651	3.56375	-2976.1921	-2990.059	98.21951	1000.0	7999	7.417429	5.4350615	38.06324	-11.39622	-8.556467	4.9402647	26.86266040802002
3	-515.54114	801.58344	-4.8515797	-2628.0864	-2651.084	228.23065	-2379.652	-2956.4229	370.0	1000.0	11999	43.336025	18.905125	109.23422	-7.9819694	-47.81454	28.758425	43.94685697555542
4	-342.60318	670.4797	-19.515003	-2669.251	-855.48517	1159.9795	-29.9766	-2670.517	132.51852	328.1	15999	108.46268	23.863752	180.2421	26.569452	-115.16167	87.59437	57.20017075538635
5	-607.0863	942.8538	-32.32474	-2447.1165	-606.2836	920.35565	-20.201653	-2428.4106	260.3889	245.5	19999	152.24744	18.172352	204.20058	24.124577	-157.43562	139.18053	69.97224283218384
6	-490.7011	807.0478	-19.022758	-2243.5408	-496.7564	855.3317	-21.760324	-2224.733	224.88235	226.4	23999	160.60332	19.207098	209.048	-0.7145038	-164.8325	133.71437	82.71795749664307
7	-1007.5901	946.0815	-24.750624	-2096.386	-259.14337	580.5105	-23.641165	-1998.0021	515.5	134.4	27999	156.14272	18.61658	202.37738	-22.91252	-159.73912	105.325935	94.88042569160461
8	-318.48236	602.05817	-11.742269	-1885.9266	-198.76044	411.4034	-12.22725	-1428.7877	187.52632	132.6	31999	143.4057	17.192995	193.56238	-47.620026	-146.47623	82.575294	107.00817847251892
9	-315.51758	494.11084	-6.6459746	-1490.9761	-392.92566	327.23465	-25.546597	-914.8201	250.2	484.8	35999	126.75427	16.023298	170.16008	-53.24785	-129.38783	67.31936	121.20481252670288
10	-133.351	222.99477	-11.301034	-809.4011	-243.67964	218.83438	-29.732063	-581.1257	177.77272	463.2	39999	109.26073	14.262053	145.71353	-57.52402	-111.556755	48.631542	135.30257177352905
11	-155.72556	186.74055	3.1244721	-683.66956	561.3309	202.42264	767.5815	-9.588414	366.72726	1000.0	43999	93.17832	12.697537	126.109215	-51.677353	-95.21852	33.803024	152.7631664276123
12	111.11526	276.5114	558.486	-186.57877	462.71777	166.65782	570.3424	-17.29023	1000.0	902.8	47999	79.48701	10.774597	107.440414	-41.42401	-81.29933	21.282564	169.78020811080933
13	311.8733	171.9222	530.5598	106.30413	335.61685	60.80407	415.08942	278.85916	1000.0	1000.0	51999	68.79833	9.123962	92.538895	-44.918045	-70.438805	14.311138	187.3176703453064
14	284.95526	93.94278	437.458	196.96361	210.58609	15.981425	238.97643	192.35146	1000.0	1000.0	55999	61.929375	8.348668	83.148506	-42.329376	-63.58314	11.236934	205.030846118927
15	320.35654	49.922134	373.66064	269.4348	541.86194	4.596278	548.5198	534.8689	1000.0	1000.0	59999	58.44344	8.050277	77.43366	-35.03545	-60.026817	8.809656	222.72647190093994
16	526.2946	28.640928	570.9984	500.01743	682.55273	17.504595	708.27856	647.8204	1000.0	1000.0	63999	56.788765	8.171048	77.552986	-29.162031	-58.350986	7.528122	240.3810157775879
17	618.5169	22.646667	651.78253	592.70154	717.15955	5.533442	728.25244	711.81274	1000.0	1000.0	67999	56.626663	8.319327	76.0908	-29.172829	-58.15092	6.3838906	258.1339111328125
18	580.03613	64.55773	641.2618	478.29382	488.9641	26.938766	541.5185	466.95786	1000.0	1000.0	71999	58.0232	8.513442	74.87524	-26.000017	-59.545	5.6467485	275.73181796073914
19	477.6377	37.325	527.9368	427.88333	681.03326	12.166565	702.8854	661.1403	1000.0	1000.0	75999	60.107616	8.593596	76.16288	-30.691463	-61.612576	5.6447086	293.3937885761261
20	632.4113	37.144413	666.9285	569.7182	738.0529	92.72493	887.8335	642.2955	1000.0	1000.0	79999	62.240444	8.359785	81.61876	-20.29576	-63.700813	5.1151814	311.10674691200256
