Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-63.645954	101.42025	23.600904	-371.4142	-54.44752	43.454514	-12.668377	-164.85931	189.7	25.5	3999	1.3194963	2.2211084	16.947063	-7.3253016	-2.0364685	0.6453682	8.416282892227173
2	-58.079132	99.82313	1.7274017	-323.07333	-293.839	633.56964	-20.756855	-2191.6743	180.78261	134.3	7999	9.400883	4.5495033	33.249527	-5.6863747	-11.085473	1.7469488	19.608508586883545
3	-161.34575	407.397	9.248451	-1648.9755	-116.055115	171.03049	-16.221214	-604.3973	197.7	157.8	11999	20.85333	4.3951964	42.693657	-6.1059637	-22.95516	3.727475	31.35544180870056
4	441.33984	351.77216	719.22894	-148.46632	855.3656	25.068518	892.21277	809.3854	1000.0	1000.0	15999	15.274247	3.3904443	34.53676	-6.739154	-16.429537	2.186416	48.81551241874695
5	556.8061	296.8939	806.0672	105.09633	942.1966	11.931151	960.938	925.2267	704.0	1000.0	19999	14.057048	2.7350707	29.627071	-6.6390405	-15.174078	1.2284888	66.15945863723755
6	804.87585	17.115715	826.268	778.9066	886.50867	17.658447	927.27814	857.66077	1000.0	1000.0	23999	15.09141	2.5329764	32.532597	-5.2257986	-16.105392	0.96381354	83.54974818229675
7	808.3144	26.918936	844.0843	780.70105	865.7916	12.73269	881.11316	838.9503	1000.0	1000.0	27999	15.943596	2.374911	33.18889	-5.735756	-16.863878	0.79762805	101.07998132705688
8	613.567	212.92351	825.1259	232.01866	894.94434	18.193045	920.76196	850.14264	822.6	1000.0	31999	16.48026	2.286799	34.126087	-8.118294	-17.315525	0.72758275	118.56678676605225
9	584.7741	307.43124	839.8703	48.794968	656.48724	262.5302	936.8428	267.9311	736.0	763.1	35999	16.411184	2.1869402	31.960495	-6.488909	-17.146873	0.700211	134.54289531707764
10	506.77203	371.32364	822.5739	36.66306	895.9588	16.255054	921.01526	861.2293	632.8	1000.0	39999	16.184986	2.1531901	31.281494	-5.666266	-16.864147	0.6800276	152.11845588684082
11	647.1608	271.90448	876.1781	211.7546	851.9064	231.46783	955.1747	159.76497	775.3333	918.1	43999	16.243183	2.113528	32.036037	-5.950978	-16.892546	0.5999621	169.27571201324463
12	569.6638	324.99265	865.6279	5.0839458	900.78595	33.59148	951.6072	856.5323	688.6667	1000.0	47999	16.461872	2.0640705	32.080124	-4.826198	-17.078281	0.5807028	186.76980257034302
13	484.99988	310.6049	857.6353	78.402504	931.0962	35.78562	951.708	824.2645	623.5	1000.0	51999	16.556513	2.0497873	32.81702	-8.407068	-17.146214	0.60361195	204.3376145362854
14	807.68713	53.16178	862.8503	733.8228	961.38605	11.272893	979.2085	945.8906	1000.0	1000.0	55999	16.59418	2.0353055	33.114117	-7.057435	-17.148191	0.5654393	221.9494926929474
15	868.3042	10.621322	879.2505	851.20715	923.36017	9.91982	946.4135	910.6267	1000.0	1000.0	59999	16.5939	2.0193443	35.96098	-6.187179	-17.125996	0.54551524	239.44694113731384
16	706.55054	273.72845	913.093	236.17442	745.1369	239.20221	873.5708	29.7084	852.5	904.0	63999	16.671766	1.9965003	37.720943	-5.083149	-17.18416	0.5300343	256.35673451423645
17	667.2828	196.31503	866.2156	321.49734	963.88245	9.866971	976.1787	939.8937	929.8	1000.0	67999	16.735254	2.0068462	34.975613	-7.8522124	-17.237268	0.57759047	273.86948323249817
18	699.1288	339.8009	911.7608	24.667904	976.6341	18.286865	1007.19727	949.54736	804.8	1000.0	71999	16.71359	1.9642354	35.020504	-4.7588468	-17.195745	0.53069556	291.39370465278625
19	861.3179	8.658472	874.3946	850.40515	879.72766	223.6213	978.12756	210.44676	1000.0	920.3	75999	16.741098	1.9918613	35.2404	-8.064162	-17.213812	0.5201487	308.45349287986755
20	647.04193	195.31451	885.0179	390.01523	882.6136	218.23723	1002.54266	238.88225	858.0	922.9	79999	16.908508	2.0613341	34.449986	-5.695139	-17.376215	0.54811454	325.5361213684082
