Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-119.3639	144.85173	0.5252267	-411.30542	-506.4789	882.9284	-36.93058	-2821.3704	340.45456	185.2	3999	7.3841968	7.4146214	41.526985	-6.325584	-9.601613	0.3085159	13.436317920684814
2	-77.283676	128.14886	5.1801972	-358.66095	-1424.4199	1263.9674	-83.36071	-2932.0747	253.57143	487.4	7999	103.62077	61.704315	305.9021	-26.142584	-116.41191	14.980001	31.91375494003296
3	-167.1329	425.29956	3.9603264	-2665.7942	-92.29214	87.516136	-27.554935	-330.31384	126.21622	37.0	11999	498.52637	146.3121	811.38086	-326.934	-529.2184	297.5338	48.168490409851074
4	-253.54309	567.50397	-20.890678	-2725.0447	-92.2447	57.047947	-36.858917	-188.06082	95.833336	32.4	15999	763.22906	77.14699	946.813	-299.12088	-782.10626	940.88715	64.86978316307068
5	-166.2921	425.0641	-19.709484	-2467.6165	-55.36654	40.606136	-19.801498	-147.37207	68.93104	26.4	19999	846.5461	101.03718	1047.9358	-372.63663	-865.80225	977.3804	81.50806331634521
6	-327.7118	703.5234	-15.076669	-2187.0195	-90.80514	79.50665	-10.51271	-275.84952	158.5	46.8	23999	945.1993	109.3006	1140.4521	-421.00992	-967.605	875.7518	98.24055814743042
7	-306.5197	629.6778	-23.368908	-2037.6859	-299.7715	665.5317	-23.88838	-2278.281	155.56	135.1	27999	1034.912	102.18533	1238.8777	-649.39624	-1056.4558	902.00586	115.66440272331238
8	-183.78775	378.64893	-9.507025	-2084.348	-299.66885	657.4155	-18.51282	-2267.2095	94.65116	134.7	31999	1070.3395	105.007614	1297.9974	-658.5943	-1090.2675	1024.736	133.01109409332275
9	-449.95126	806.8172	-5.828833	-2166.976	-336.55057	708.48206	-18.288824	-2419.6487	217.33333	144.7	35999	1067.7412	105.33578	1264.6655	-685.3644	-1086.5073	897.3224	150.3090624809265
10	-201.99184	522.36993	-13.538779	-2241.458	-522.25104	824.3833	-21.6534	-2464.7576	99.51613	218.5	39999	1033.8843	103.20261	1260.5509	-812.1644	-1050.4314	853.2077	168.0698366165161
11	-492.70074	837.3812	-27.050673	-2247.0146	-326.61667	732.17163	-19.04632	-2505.5334	231.5238	136.3	43999	974.94543	99.20088	1184.714	-699.3377	-989.69635	693.6745	185.52209615707397
12	-208.9477	459.46344	-23.976276	-2260.8494	-168.38069	158.20303	-29.238045	-605.4616	94.06977	72.0	47999	900.01074	93.246025	1189.0574	-880.40106	-912.58606	647.06287	203.53298544883728
13	-199.43694	464.7919	-15.219094	-2110.499	-84.2059	70.64039	-17.580173	-214.48347	97.666664	44.7	51999	809.6748	87.11897	1008.07916	-784.07916	-820.50116	655.0173	221.21540188789368
14	-222.03581	509.0281	-18.659674	-2253.1597	-108.01302	61.665134	-25.197092	-250.51901	106.02381	49.1	55999	718.5972	77.542694	901.7784	-510.77652	-728.3577	507.7966	239.1156792640686
15	-284.8779	596.0161	-17.494013	-2279.3306	-329.99667	607.82	-11.645203	-2118.2087	134.89285	136.1	59999	631.5335	69.65466	779.68396	-374.70444	-640.07666	388.34805	256.3839964866638
16	-428.24255	757.47986	-16.070621	-2185.941	-587.7824	784.67755	-33.45511	-2394.645	206.52632	244.8	63999	547.43854	61.153397	675.1805	-406.58875	-554.61053	250.10509	274.3847312927246
17	-453.472	742.32196	-21.52072	-2251.5603	-501.79565	877.42224	-30.861328	-2282.7341	219.0	224.9	67999	465.9515	53.394497	605.0337	-422.04633	-471.7925	191.2819	292.76110768318176
18	-307.8665	627.0487	-13.436666	-2087.838	-679.724	584.74054	-35.197056	-1825.5417	159.08333	663.7	71999	388.0218	46.436108	519.77216	-318.10437	-392.8338	127.978775	315.89546251296997
19	-609.39197	554.34705	-58.561863	-1667.8619	-530.714	235.38274	-95.05166	-895.6948	697.0	1000.0	75999	317.4038	38.68569	430.09604	-319.45984	-321.43973	81.1772	339.00503611564636
20	-188.52628	212.47067	82.76688	-495.21872	-0.7376038	130.81725	181.01765	-248.98203	811.8	904.5	79999	259.80093	31.47468	357.89325	-213.7542	-263.30994	52.076378	362.97794699668884
