Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-53.564697	82.553215	16.763962	-310.84988	-35.05912	10.54729	-24.039618	-62.61179	147.8	13.3	3999	3.5736496	3.414144	22.036573	-12.235102	-4.8221073	0.42920744	12.284063339233398
2	-76.70851	94.98693	11.057991	-344.19397	-70.245285	24.97387	-36.252083	-116.20646	203.09525	26.9	7999	24.96094	11.5233135	70.47399	-10.381094	-28.98893	3.418526	28.006340980529785
3	-79.41455	76.250435	39.054752	-309.28116	-484.58002	692.62683	-27.854408	-1855.5293	80.78049	259.3	11999	58.76825	10.753745	98.59617	-26.677523	-64.29559	14.2733135	45.44287991523743
4	-190.89265	494.0014	72.953186	-1847.4166	82.403625	151.99333	526.57416	-11.467647	277.92856	219.8	15999	52.06242	8.132874	85.254814	-24.415945	-55.50481	10.499205	63.17629146575928
5	-0.46148953	48.431995	94.832726	-87.56389	33.058422	38.964424	115.174065	-24.22839	392.91666	168.3	19999	38.224243	6.827265	67.99202	-12.604266	-40.648106	4.92279	80.58490777015686
6	54.380886	72.166435	197.73764	-14.9357605	128.68596	157.42137	386.04633	-18.756205	321.75	366.7	23999	27.06139	5.307535	55.68622	-13.779408	-28.84517	2.9546044	99.26495552062988
7	91.266556	98.1262	347.0822	-27.885635	131.14296	109.887695	321.74426	-2.2809668	291.7857	403.3	27999	21.146143	4.2765484	44.13762	-11.979243	-22.668695	2.0751646	118.06786465644836
8	87.14334	71.326	271.7277	-5.299378	126.10486	160.85356	498.93832	-0.4472681	273.4	287.0	31999	18.877005	3.9530394	40.53085	-13.415644	-20.26336	1.9351825	136.18120980262756
9	141.35654	131.37328	358.79187	-6.3633375	171.82332	180.47551	530.77026	0.53548604	354.72726	368.2	35999	18.036724	3.8097577	40.2733	-10.236757	-19.347168	1.8216751	154.92989468574524
10	200.26765	91.83403	369.7514	114.60432	180.00995	154.85872	504.62384	9.855453	554.5	454.0	39999	17.812363	3.8316014	40.513264	-9.27623	-19.064163	1.6720877	174.13292622566223
11	103.78358	103.65297	274.97638	-9.575168	199.59882	192.80347	551.4346	2.379719	343.0	464.9	43999	17.649818	4.0444274	40.403564	-11.583293	-18.853	1.612207	193.334392786026
12	128.42354	114.70899	370.8931	17.91171	164.4603	215.84245	655.2885	-5.137104	272.0	336.4	47999	17.675928	4.235466	41.385906	-8.957303	-18.842247	1.6372422	211.9439299106598
13	125.98969	121.688385	349.80154	-15.942964	199.9781	189.13943	632.8434	36.29274	296.875	434.3	51999	17.790045	4.368876	40.781044	-11.910017	-18.925404	1.6386573	231.02133917808533
14	176.07109	154.79442	411.50586	10.363787	294.31665	204.20766	681.2985	24.068766	420.44446	473.9	55999	17.774988	4.456276	41.371254	-11.144891	-18.884909	1.5677427	250.51921963691711
15	254.70511	146.2675	416.6489	9.024347	156.04492	154.12944	479.33273	42.934406	528.0	302.7	59999	17.90923	4.6090555	41.32836	-15.278699	-18.990196	1.5302827	268.9173653125763
16	193.87273	188.54163	469.29474	3.11961	207.39258	244.81854	668.3926	3.503797	400.0	348.8	63999	17.862587	4.7212234	43.824696	-11.8523855	-18.91226	1.5023483	287.5147089958191
17	127.85364	153.3296	459.76743	8.686594	401.37918	208.89851	626.46075	29.686684	250.375	731.7	67999	17.810255	4.8641686	44.58187	-12.698783	-18.83491	1.5440685	308.32768392562866
18	164.88612	219.19049	736.1044	-9.653662	256.39758	272.97162	663.38745	-1.589931	300.91666	433.8	71999	17.786358	4.9421253	45.646557	-12.920154	-18.788	1.543428	327.62429428100586
19	343.74332	188.95674	509.33517	31.586544	167.56992	202.03452	569.5321	9.746664	697.3333	273.5	75999	17.83548	5.0080338	44.839497	-18.872082	-18.818312	1.5203745	345.8457989692688
20	270.57364	226.53357	562.71936	3.0051959	209.00923	195.67862	604.13477	27.15302	492.57144	326.4	79999	17.9142	5.1215925	45.344334	-12.281117	-18.88819	1.4678131	364.2805714607239
