Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-40.98324	56.029602	32.715504	-277.3291	-33.85465	13.789424	-5.562795	-49.711388	122.84375	15.4	3999	8.035186	8.225585	49.720192	-7.6871276	-10.39795	1.2495714	9.495066165924072
2	-80.66972	115.308235	13.583015	-383.2478	-372.33868	869.167	-25.34445	-2970.117	219.28572	123.2	7999	122.014	77.366035	372.12494	-56.841583	-139.09937	47.927143	22.046201467514038
3	-180.25124	330.82358	-2.8781557	-1407.9458	-2040.2211	1167.6448	-198.63567	-2988.7085	154.125	732.8	11999	623.81177	201.90521	1100.0193	-516.5184	-668.51855	771.567	38.698365449905396
4	-823.8631	1059.8346	-19.384153	-2574.6802	-347.17465	806.8462	-27.274591	-2764.842	330.3	126.6	15999	1090.4283	143.59613	1400.1915	-361.83548	-1123.1388	1592.5905	52.18756341934204
5	-452.20743	777.3201	-25.780888	-2557.6948	-739.41724	996.1065	-34.033283	-2608.0383	187.54167	285.4	19999	1240.8573	132.57936	1510.4968	-580.08655	-1266.2097	2000.6711	66.4812536239624
6	-322.0227	742.34467	-17.961977	-2435.792	-335.5214	708.77216	-16.99187	-2443.5706	141.0	140.6	23999	1289.1674	120.74883	1541.3109	-708.53864	-1310.0225	1677.7328	80.062020778656
7	-1000.6826	956.45087	-39.519646	-2157.6572	-270.12946	614.176	-29.154776	-2109.3845	489.55554	130.0	27999	1240.5948	110.15128	1470.5385	-928.78613	-1256.983	1179.4879	93.57125973701477
8	-200.47379	375.41608	-11.046354	-1764.7517	-385.8396	634.7583	-39.883163	-1965.2819	117.6	192.3	31999	1151.7882	103.989105	1366.4679	-744.88043	-1165.7112	1140.8318	107.38855314254761
9	-480.2953	690.48865	-9.766055	-1718.6342	-95.57506	50.089756	-17.613623	-179.24452	299.6	52.4	35999	1062.8792	95.04425	1259.3358	-852.91705	-1075.556	912.7333	120.40685367584229
10	-580.9425	726.2226	-28.48515	-1747.3473	-458.9854	666.3198	-0.2870346	-1754.6499	369.22223	275.0	39999	964.32654	83.28258	1128.4006	-633.5053	-974.4561	590.6701	134.8834867477417
11	-190.95566	448.77463	-5.2176924	-1649.8057	-40.419323	22.030375	-2.9794397	-74.59431	124.75	30.3	43999	857.7641	77.03702	1047.1129	-1001.7879	-866.438	593.235	147.85036158561707
12	-378.38165	562.4188	-12.601581	-1547.2533	-384.6327	506.01562	-0.9778043	-1262.3876	275.83334	355.6	47999	751.7688	69.95913	896.18744	-475.5005	-759.2147	473.85095	162.76639080047607
13	-449.06265	633.621	-1.3523095	-1438.0953	-336.90082	563.03217	-7.6376214	-1484.7941	332.5	245.5	51999	652.97345	59.238655	764.66095	-429.09048	-659.04456	307.24692	177.0134241580963
14	-378.3012	531.118	-4.2329383	-1342.3271	45.625343	86.82353	185.46822	-73.86411	288.92856	521.2	55999	556.9419	50.623333	656.6619	-406.75485	-561.67523	199.7455	193.07791447639465
15	-233.50125	391.7759	-10.260375	-1301.9948	-281.9931	428.969	-21.228039	-1244.2429	268.46667	244.4	59999	468.06903	43.65606	563.2393	-325.75174	-472.00674	138.69843	207.2986273765564
16	-445.67615	430.36914	-19.242237	-1270.0302	379.67117	253.0614	595.527	-21.21088	512.2222	712.0	63999	387.37003	37.63569	479.16525	-296.90097	-390.4685	94.093155	224.39017915725708
17	325.0431	329.02707	599.2287	-227.7226	643.526	21.517733	666.88666	588.7259	946.75	1000.0	67999	317.93332	31.086458	395.09384	-231.8464	-320.61755	57.58436	243.40823459625244
18	535.1321	30.082	574.14935	496.0009	487.69073	83.87118	562.6082	260.79407	1000.0	1000.0	71999	264.0495	25.960793	332.08914	-208.07426	-266.61765	39.30213	262.47647523880005
19	545.70496	59.59626	588.2707	443.0393	620.6193	55.227985	662.63245	457.53543	1000.0	1000.0	75999	224.51912	24.009178	286.5262	-174.40692	-227.05641	26.834414	281.579149723053
20	505.28693	148.55614	647.324	256.13553	735.7862	5.1950183	742.07776	725.79193	1000.0	1000.0	79999	195.99117	23.403786	247.13356	-144.34996	-198.50897	21.535543	300.7775819301605
