Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-52.768833	79.4676	15.24937	-357.48566	-736.5248	884.90796	-47.326668	-2493.8372	156.7619	286.5	3999	3.874402	4.545305	28.02638	-10.650415	-5.1279087	1.3417324	10.089757442474365
2	-112.958374	134.13855	6.058143	-329.60596	-1666.6257	1284.5048	-125.76526	-2969.504	342.45456	577.1	7999	41.08386	22.389711	108.397125	-9.165609	-46.125668	10.317316	24.02837562561035
3	-188.63844	532.063	8.49008	-2587.5508	-414.05225	767.40497	-48.489628	-2696.6665	173.07692	148.2	11999	156.95058	44.18252	264.27365	8.047952	-166.92744	92.408424	36.019715309143066
4	-356.60922	746.65265	-20.036491	-2445.9932	-319.53864	711.06995	-28.635448	-2443.2056	148.6923	134.7	15999	255.07004	29.306885	359.14224	-26.12087	-262.9279	215.73383	48.20277667045593
5	-319.28784	606.95605	-22.29424	-2156.836	-62.461937	36.997307	-21.536423	-128.92094	170.86957	43.9	19999	295.55328	35.28346	405.50174	-76.80406	-303.04584	254.44756	59.9284610748291
6	-347.4644	520.13385	-16.828253	-1543.0085	-275.33075	412.779	-47.77534	-1198.3486	258.29413	245.0	23999	327.57135	37.838158	422.30676	-91.17979	-335.06906	238.26723	72.78431916236877
7	-152.63058	270.70428	-3.9531538	-1055.0608	-136.5245	244.35829	-20.53479	-865.22705	156.03703	242.9	27999	349.08008	38.46456	439.7253	-122.04121	-356.29984	256.67874	85.65135097503662
8	-337.77756	367.52686	-12.38233	-1105.239	-168.12173	321.7345	-15.585582	-1125.9222	392.33334	135.8	31999	358.7208	38.996616	450.5316	-170.61234	-365.52814	243.13503	97.99837303161621
9	-275.8534	419.38846	-6.022294	-1283.4744	-224.61319	408.44614	-34.377697	-1443.7292	219.17647	168.3	35999	359.86328	36.53399	437.95712	-136.8971	-366.01855	200.86716	110.41768264770508
10	-243.49991	440.81985	-14.653618	-1307.7268	-619.2231	546.1925	-78.63075	-1347.6357	197.0	483.6	39999	349.09	34.899765	423.36917	-181.41046	-354.59668	179.844	124.80754733085632
11	-413.6701	587.9864	-11.6769495	-1454.3561	-202.29068	418.23688	-30.99248	-1447.8057	293.25	139.6	43999	328.28262	32.64616	404.00275	-188.67915	-333.02075	155.97626	137.08061718940735
12	-311.6634	495.84494	-8.578396	-1323.0317	-186.40196	392.08142	-8.603432	-1349.8281	254.28572	137.5	47999	301.79922	29.95859	362.4686	-182.0633	-305.78952	111.59669	149.3729043006897
13	-502.91003	505.4695	-9.163358	-1338.028	-196.5523	277.6631	-22.045546	-793.2824	480.77777	258.9	51999	271.9591	26.375004	334.1256	-161.14308	-275.2791	78.58882	162.54413175582886
14	-358.43542	392.70975	-16.013216	-958.50134	-283.68362	309.6748	-31.750761	-969.9605	418.125	538.3	55999	238.92526	23.0331	299.84766	-137.01869	-241.7279	58.381752	177.30172085762024
15	-276.946	349.86914	-4.764071	-974.65247	124.28613	128.04297	334.44077	-45.23697	366.84616	714.6	59999	205.47797	19.762953	256.10956	-150.73393	-207.84735	42.85575	193.28611993789673
16	-68.99901	186.95932	246.61545	-361.65594	222.60393	232.15407	560.1627	-115.481224	458.0	709.9	63999	175.32108	16.365782	222.29742	-157.14487	-177.37357	31.353313	209.19979524612427
17	53.904873	130.92558	274.2422	-119.55805	345.9638	33.166164	381.0789	286.8401	678.0	1000.0	67999	148.86478	14.044064	189.95425	-200.18097	-150.69647	22.420298	226.95430517196655
18	241.3761	23.931868	281.49313	222.01978	140.78108	54.76653	177.10567	-17.309448	1000.0	901.3	71999	126.62505	11.91601	163.07755	-100.183655	-128.25845	15.284368	244.04331803321838
19	274.49887	16.344074	300.4818	256.4949	285.69064	19.396198	341.32492	265.77652	1000.0	1000.0	75999	108.60927	10.322405	138.47838	-115.26266	-110.14887	11.519624	261.7742249965668
20	443.6139	115.63417	570.5942	256.7519	648.5812	9.770231	663.9457	631.68176	1000.0	1000.0	79999	95.01902	9.264339	119.6173	-74.5615	-96.49153	8.8539715	279.6420726776123
