Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-35.905407	58.469448	15.437051	-313.96744	-1842.7034	1181.7562	-46.73713	-2838.568	115.09677	707.2	3999	7.012645	8.089785	55.28564	-10.131498	-9.437218	1.9654847	12.529961824417114
2	-62.82605	95.94771	10.370399	-357.8193	-2999.5144	2.8861027	-2993.061	-3003.8066	186.73685	1000.0	7999	152.39432	102.002	476.26334	-143.188	-174.23366	100.317085	28.978131771087646
3	-239.32092	634.72363	-4.1533575	-2655.3337	-965.8661	1318.9519	-39.169872	-3017.0183	245.125	327.1	11999	878.81647	312.3831	1729.0826	-385.3329	-942.25665	1781.4192	41.9524302482605
4	-1227.728	1251.2432	-38.706383	-2694.19	-757.4156	1038.6956	-45.20392	-2977.7632	466.8889	265.7	15999	1562.4794	247.37488	2213.973	-571.81573	-1615.063	3726.2505	55.064544439315796
5	-1439.5056	971.8545	-35.048325	-2667.4402	-1010.1808	1191.773	-41.92789	-2844.62	554.625	363.4	19999	2101.2	207.17522	2713.412	-1481.9965	-2145.4805	4171.519	68.62457156181335
6	-921.1747	1091.2134	-15.099217	-2546.714	-1691.9115	1198.3348	-128.01677	-2965.3784	366.9	635.1	23999	2112.8682	173.71439	2588.0032	-1339.242	-2146.1394	3803.2456	83.95885372161865
7	-314.83173	727.7953	-9.2654295	-2587.1335	-1468.999	1360.6486	-53.642143	-2913.2588	125.125	516.0	27999	2381.2512	231.76753	3115.2217	-1603.0553	-2435.503	5751.164	98.44088840484619
8	-654.42786	1053.0128	-19.841421	-2587.409	-344.72736	797.0202	-22.216646	-2707.8245	255.64706	128.8	31999	2847.4521	268.36694	3541.204	-2038.0297	-2909.2886	11191.27	110.63082504272461
9	-144.32057	361.15427	-12.963078	-2482.2427	-2273.7554	1066.4277	-27.884558	-2884.614	58.982758	810.3	35999	3077.0728	260.73773	3682.1238	-1648.6012	-3127.4492	17047.207	126.80963015556335
10	-1186.65	1171.0286	-47.222557	-2544.1565	-369.62585	805.2882	-26.407024	-2775.9314	478.44446	135.7	39999	3136.3274	266.10013	3707.8528	-1988.0139	-3180.841	14604.049	139.12264490127563
11	-1022.7504	1065.7155	-21.403877	-2582.9238	-318.02307	704.75006	-10.594162	-2428.4944	410.44446	118.1	43999	2941.432	246.78471	3483.1785	-1444.0741	-2973.3845	10279.986	151.2541925907135
12	-152.3394	398.7404	-19.96626	-2433.9563	-286.3227	662.49506	-21.07604	-2272.011	61.63768	125.1	47999	2713.241	249.03436	3212.641	-3172.505	-2742.1375	11912.184	163.40550780296326
13	-419.33963	769.41986	-33.030903	-2391.2175	-696.6611	1004.2424	-53.584244	-2795.2708	179.17392	258.5	51999	2454.0554	254.02939	2920.2788	-1687.9069	-2483.3606	10702.004	176.43667769432068
14	-317.79614	619.5711	-31.936804	-2380.7961	-214.51962	506.23822	-18.674217	-1729.1248	131.82143	84.4	55999	2252.014	245.90923	2722.5796	-1238.5514	-2276.857	8438.812	188.37811088562012
15	-695.1287	982.3999	-19.047447	-2366.577	-352.44138	710.5763	-26.151344	-2451.9934	293.0	138.7	59999	2060.6296	227.27553	2531.7854	-1539.3123	-2083.7131	6172.9697	200.63521456718445
16	-461.9916	783.771	-7.446731	-2283.327	-560.8402	986.09753	-31.91822	-2531.829	208.47368	224.3	63999	1863.7631	207.59589	2271.6084	-1220.5114	-1883.5544	5262.6387	213.44506168365479
17	-429.6543	786.61743	-19.27795	-2245.4805	-340.8312	653.5442	-30.642181	-2281.506	199.55556	157.7	67999	1676.3035	189.79956	2084.3743	-1752.4083	-1694.0641	4190.974	226.00019884109497
18	-560.8058	843.57245	-16.79108	-2198.1338	-577.9909	842.4786	-58.259857	-2298.4216	259.8889	257.0	71999	1488.2151	165.09686	1863.4885	-1062.4402	-1502.9917	3089.9194	238.9629192352295
19	-1096.4934	1004.89056	-51.77183	-2242.743	-527.484	850.0945	-29.551096	-2271.98	522.5	241.2	75999	1313.2255	139.46848	1752.8666	-1152.8167	-1326.2178	2217.417	251.97150301933289
20	-398.75226	693.0197	-8.229745	-2084.0002	-322.4765	432.45773	-39.381752	-1496.6115	199.9	153.4	79999	1153.9629	121.62287	1481.6279	-981.4735	-1165.4742	1799.6254	264.36240816116333
